Status_of_existing_checking_account,Duration_in_month,Credit_history,Class
A14,12,A34,1
A11,42,A32,1
A12,36,A32,1
A11,30,A30,1
A14,9,A34,1
A11,6,A32,1
A12,12,A34,1
A12,7,A32,1
A12,18,A32,1
A12,12,A32,1
A14,36,A32,1
A14,18,A32,1
A14,6,A31,1
A14,36,A34,1
A14,24,A32,1
A14,27,A32,1
A14,12,A32,1
A12,12,A32,1
A14,36,A32,1
A14,36,A32,1
A12,42,A34,1
A11,12,A34,1
A14,54,A30,1
A12,30,A32,1
A11,24,A32,1
A13,24,A34,1
A14,12,A34,1
A12,18,A32,1
A14,6,A33,1
A14,12,A32,1
A14,12,A32,1
A13,10,A34,1
A12,12,A34,1
A12,48,A32,1
A14,60,A32,1
A12,48,A31,1
A14,6,A32,1
A13,36,A32,1
A12,24,A34,1
A11,12,A31,1
A12,24,A32,1
A14,6,A34,1
A14,36,A32,1
A14,24,A32,1
A12,8,A32,1
A11,21,A34,1
A14,6,A34,1
A12,24,A32,1
A14,9,A34,1
A14,12,A34,1
A14,36,A32,1
A14,24,A33,1
A14,36,A30,1
A11,24,A32,1
A12,18,A32,1
A14,12,A34,1
A11,18,A34,1
A14,10,A34,1
A14,36,A34,1
A14,24,A32,1
A14,12,A34,1
A14,18,A34,1
A14,24,A32,1
A13,18,A31,1
A11,47,A32,1
A12,12,A32,1
A14,12,A32,1
A11,12,A32,1
A11,24,A32,1
A14,24,A32,1
A12,6,A32,1
A12,10,A32,1
A12,18,A32,1
A13,10,A32,1
A14,15,A34,1
A14,18,A34,1
A13,12,A32,1
A11,18,A32,1
A14,18,A34,1
A14,6,A34,1
A12,18,A34,1
A14,9,A32,1
A11,6,A34,1
A12,39,A33,1
A12,18,A34,1
A14,14,A33,1
A12,18,A33,1
A11,15,A32,1
A14,36,A34,1
A12,12,A34,1
A14,21,A33,1
A12,18,A32,1
A14,28,A34,1
A14,9,A32,1
A11,9,A32,1
A12,7,A32,1
A14,36,A34,1
A14,6,A32,1
A12,12,A32,1
A13,24,A32,1
A12,12,A32,1
A11,15,A34,1
A14,12,A34,1
A14,10,A32,1
A14,6,A34,1
A14,24,A34,1
A12,18,A32,1
A13,9,A32,1
A11,6,A34,1
A11,6,A32,1
A12,18,A32,1
A12,26,A32,1
A14,15,A34,1
A12,36,A32,1
A14,24,A32,1
A14,24,A33,1
A14,12,A34,1
A14,24,A32,1
A14,48,A34,1
A14,12,A34,1
A12,9,A32,1
A14,30,A34,1
A12,9,A32,1
A14,15,A34,1
A12,12,A32,1
A14,9,A32,1
A11,12,A32,1
A14,15,A32,1
A11,21,A32,1
A11,12,A32,1
A14,15,A32,1
A11,24,A32,1
A12,15,A32,1
A11,14,A32,1
A14,24,A34,1
A14,48,A31,1
A13,30,A34,1
A14,6,A34,1
A14,24,A34,1
A14,18,A32,1
A14,6,A32,1
A12,36,A33,1
A12,30,A33,1
A12,27,A32,1
A14,15,A32,1
A11,9,A34,1
A14,30,A34,1
A12,9,A32,1
A12,8,A32,1
A14,24,A32,1
A14,21,A32,1
A11,24,A31,1
A11,39,A34,1
A11,13,A34,1
A14,24,A32,1
A14,24,A34,1
A12,12,A32,1
A14,21,A34,1
A14,36,A34,1
A12,20,A32,1
A14,22,A32,1
A14,48,A34,1
A14,6,A34,1
A14,9,A32,1
A12,18,A34,1
A11,20,A34,1
A12,6,A32,1
A14,12,A34,1
A12,8,A32,1
A14,6,A34,1
A11,8,A34,1
A14,18,A34,1
A12,24,A32,1
A14,12,A32,1
A14,4,A32,1
A12,21,A32,1
A14,15,A34,1
A14,36,A33,1
A14,10,A32,1
A14,15,A34,1
A14,15,A32,1
A13,6,A34,1
A14,36,A32,1
A14,30,A34,1
A14,24,A32,1
A11,12,A34,1
A12,36,A34,1
A14,36,A33,1
A14,12,A34,1
A14,20,A34,1
A11,12,A32,1
A14,15,A33,1
A14,36,A33,1
A14,18,A34,1
A14,12,A34,1
A12,6,A32,1
A14,24,A34,1
A14,4,A34,1
A11,15,A32,1
A11,12,A32,1
A12,9,A34,1
A14,15,A32,1
A12,6,A32,1
A14,42,A32,1
A14,24,A32,1
A12,18,A33,1
A14,24,A34,1
A14,13,A32,1
A14,15,A31,1
A14,12,A32,1
A11,24,A33,2
A12,30,A34,2
A12,12,A32,2
A11,24,A34,2
A12,24,A32,2
A11,48,A34,2
A12,36,A30,2
A11,36,A32,2
A12,54,A30,2
A14,18,A31,2
A14,36,A34,2
A11,33,A34,2
A11,18,A32,2
A11,12,A32,2
A12,24,A34,2
A14,36,A33,2
A11,21,A31,2
A12,48,A30,2
A12,27,A32,2
A12,45,A32,2
A11,27,A30,2
A11,48,A30,2
A12,30,A32,2
A11,24,A33,2
A12,48,A32,2
A11,36,A31,2
A11,24,A30,2
A11,6,A34,2
A12,24,A32,2
A14,36,A33,2
A12,60,A31,2
A12,12,A32,2
A14,24,A33,2
A14,12,A34,2
A11,12,A32,2
A12,12,A32,2
A13,12,A31,2
A14,12,A32,2
A11,24,A33,2
A12,6,A33,2
A12,36,A32,2
A12,24,A34,2
A11,48,A32,2
A12,12,A32,2
A11,30,A32,2
A13,18,A32,2
A11,48,A32,2
A14,21,A30,2
A11,24,A31,2
A12,18,A34,2
A11,24,A32,2
A12,36,A32,2
A11,18,A32,2
A11,24,A31,2
A11,24,A32,2
A12,9,A32,2
A12,36,A32,2
A14,18,A33,2
A14,18,A34,2
A14,9,A32,2
A11,42,A33,2
A14,15,A32,2
A14,12,A32,2
A13,24,A32,2
A11,12,A32,2
A12,12,A32,2
A14,21,A33,2
A11,48,A34,2
A13,9,A30,2
A11,12,A32,2
A11,18,A32,2
A13,15,A34,2
A12,12,A32,2
A12,48,A33,2
A11,36,A32,2
A12,15,A30,2
A11,48,A32,2
A11,12,A32,2
A11,15,A32,2
A14,18,A33,2
A11,18,A32,2
A11,24,A32,2
A11,9,A32,2
A11,12,A31,2
A11,24,A31,2
A14,36,A32,2
A11,60,A32,2
A12,30,A34,2
A11,36,A32,2
A11,45,A32,2
